first-name,last-name,constituency,party,mp-since,entry-start-date,entry-end-date,id,identity,source-description,source-date,source-url,notes,image-source,image-source-url,image-license,image-license-url
Imran,Ahmad Khan,Wakefield,Conservative,2019-12-13,2019-12-13,2021-06-18,4841,Gay,Pink News,2022-04-11,https://www.theguardian.com/politics/2022/apr/11/imran-ahmad-khan-tory-mp-in-sexual-assault-case-had-oddball-reputation,The party whip was withdrawn from Imran Ahmad Khan in June 2021,UK Parliament,https://members.parliament.uk/member/4015/portrait,,
Imran,Ahmad Khan,Wakefield,Independent,2019-12-13,2021-06-18,2022-05-03,4841,Gay,Pink News,2022-04-11,https://www.theguardian.com/politics/2022/apr/11/imran-ahmad-khan-tory-mp-in-sexual-assault-case-had-oddball-reputation,"In 14 April 2022, Imran Ahmad Khan announced he would be resigning as an MP, following a criminal conviction for sexual assault",UK Parliament,https://members.parliament.uk/member/4015/portrait,,
Dan,Aldridge,Weston-super-Mare,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Stuart,Andrew,Pudsey,Conservative,2010-05-06,2010-05-06,2024-05-30,4032,,Yorkshire Post,2013-05-22,http://www.yorkshirepost.co.uk/news/leeds-mp-beaten-unconscious-in-homophobic-attack-hits-out-at-tory-gay-marriage-rebels-1-5694767,,UK Parliament,https://members.parliament.uk/member/4032/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Stuart,Andrew,Daventry,Conservative,2010-05-06,2024-07-05,present,4032,,Yorkshire Post,2013-05-22,http://www.yorkshirepost.co.uk/news/leeds-mp-beaten-unconscious-in-homophobic-attack-hits-out-at-tory-gay-marriage-rebels-1-5694767,,UK Parliament,https://members.parliament.uk/member/4032/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
James,Asser,West Ham and Beckton,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Josh,Babarinde,Eastbourne,Liberal Democrat,2024-07-05,2024-07-05,present,,,Twitter (X),2024-07-05,https://x.com/JoshBabarinde/status/1787452339256705318,,,,,
Olivia,Bailey,Reading West and Mid Berkshire,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Antonia,Bance,Tipton and Wednesbury,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Hannah,Bardell,Livingstone,Scottish National,2015-05-08,2015-05-08,2024-05-30,4486,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4486/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Greg,Barker,Bexhill and Battle,Conservative,2001-06-07,2001-06-07,2015-03-30,1389,,Web Archive (The Independent),2020-01-03,https://web.archive.org/web/20080704211658/http://news.independent.co.uk/uk/this_britain/article2516664.ece,,Wikipedia,"https://commons.wikimedia.org/wiki/File:Gregory_Barker,_Minister_of_State_of_the_Department_of_Energy_and_Climate_Change.jpg",Open Government Licence version 1.0,https://nationalarchives.gov.uk/doc/open-government-licence/version/1/
Danny,Beales,Uxbridge and South Ruislip,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Scott,Benton,Blackpool South,Conservative,2019-12-13,2019-12-13,2023-05-05,4793,,Blackpool Gazette,2021-12-07,https://www.blackpoolgazette.co.uk/news/politics/blackpool-south-mp-scott-benton-hits-back-at-hypocrisy-allegations-after-marrying-partner-amid-campaign-to-scrap-human-rights-act-3484899,Scott Benton lost the Conservative party whip on 5 April 2023 and now sits as an independent,UK Parliament,https://members.parliament.uk/member/4793/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Scott,Benton,Blackpool South,Independent,2019-12-13,2023-05-05,2024-03-25,4793,,Blackpool Gazette,2021-12-07,https://www.blackpoolgazette.co.uk/news/politics/blackpool-south-mp-scott-benton-hits-back-at-hypocrisy-allegations-after-marrying-partner-amid-campaign-to-scrap-human-rights-act-3484899,Scott Benton lost the Conservative party whip on 5 April 2023 and now sits as an independent. He subsequently resigned his seat on 25 March 2024.,UK Parliament,https://members.parliament.uk/member/4793/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Clive,Betts,Sheffield South East,Labour,1992-04-09,1992-04-09,present,394,,Pink News,2007-12-27,http://www.pinknews.co.uk/2007/12/27/the-50-most-powerful-lgbt-people-in-british-politics/,,UK Parliament,https://members.parliament.uk/member/394/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Polly,Billington,East Thanet,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Mhairi,Black,Paisley and Renfrewshire,Scottish National,2015-05-08,2015-05-08,2024-05-30,4421,,Attitude,2016-03-17,https://attitude.co.uk/article/as-a-gay-woman-im-a-westminster-outsider-the-snps-mhairi-black-speaks-to-owen-jones/10073/,,UK Parliament,https://members.parliament.uk/member/4421/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Kirsty,Blackman,Aberdeen North,Scottish National,2015-05-07,2015-05-07,present,4357,,Twitter,2023-06-14,https://twitter.com/KirstySNP/status/1668923027151618049,,UK Parliament,https://members.parliament.uk/member/4357/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Olivia,Blake,Sheffield Hallam,Labour,2019-12-13,2019-12-13,present,4864,Bisexual,Twitter,2021-09-20,https://twitter.com/_OliviaBlake/status/1439942562933092355,Olivia Blake tweeted that she identified as a “bi woman” to mark Bi Awareness Week in September 2021.,UK Parliament,https://members.parliament.uk/member/4864/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Crispin,Blunt,Reigate,Conservative,1997-05-01,1997-05-01,2023-11-26,104,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,"Crispin Blunt became an independent MP following an arrest for allegations of rape, which was reported on 25 October 2023.",UK Parliament,https://members.parliament.uk/member/104/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Crispin,Blunt,Reigate,Independent,1997-05-01,2023-11-26,2024-05-30,104,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,"Crispin Blunt became an independent MP following an arrest for allegations of rape, which was reported on 25 October 2023.",UK Parliament,https://members.parliament.uk/member/104/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Nick,Boles,Grantham and Stamford,Conservative,2010-05-06,2010-05-06,2019-04-03,3995,,Pink News,2014-07-15,http://www.pinknews.co.uk/2014/07/15/gay-tory-mp-nick-boles-given-ministerial-responsibilities-for-equal-marriage-and-lgbt-equality/,Nick Boles resigned the Conservative party whip in April 2019 to sit as an independent MP,Wikipedia,https://commons.wikimedia.org/wiki/File:Nickboles.jpg,Open Government Licence version 1.0,https://nationalarchives.gov.uk/doc/open-government-licence/version/1/
Nick,Boles,Grantham and Stamford,Independent,2010-05-06,2019-04-03,2019-11-06,3995,,Pink News,2014-07-15,http://www.pinknews.co.uk/2014/07/15/gay-tory-mp-nick-boles-given-ministerial-responsibilities-for-equal-marriage-and-lgbt-equality/,Nick Boles resigned the Conservative party whip in April 2019 to sit as an independent MP,Wikipedia,https://commons.wikimedia.org/wiki/File:Nickboles.jpg,Open Government Licence version 1.0,https://nationalarchives.gov.uk/doc/open-government-licence/version/1/
David,Borrow,South Ribble,Labour,1997-05-01,1997-05-01,2010-05-06,476,,Pink News,2006-05-08,https://www.pinknews.co.uk/2006/05/08/lancashire-politician-becomes-first-mp-to-have-gay-marriage/,,,,,
Ben,Bradshaw,Exeter,Labour,1997-05-01,1997-05-01,2024-05-30,230,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/230/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Nick,Brown,Newcastle East,Labour,1983-06-09,1983-06-09,2022-09-08,523,,The Independent,2016-02-20,http://www.independent.co.uk/news/browns-gay-so-what-tyneside-is-outed-as-a-tolerant-electorate-1183737.html,"Nick Brown was suspended from the Labour Party on 8 September 2022, pending an investigation into a complaint",UK Parliament,https://members.parliament.uk/member/523/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
